date,USD_CHF,EUR_GBP,USD_CAD,GBP_JPY,EUR_USD,EUR_JPY,EUR_CHF,GBP_USD,USD_JPY
2017-01-02 17:51:00,0,0,,1,1,1,1,1,1
2017-01-02 17:54:00,1,1,,0,1,0,1,1,0
2017-01-02 17:57:00,1,0,0,1,0,0,1,0,0
2017-01-02 18:00:00,1,1,1,1,1,1,1,1,1
2017-01-02 18:03:00,0,0,1,0,0,0,0,0,1
2017-01-02 18:06:00,0,0,0,0,1,0,0,0,0
2017-01-02 18:09:00,0,0,0,0,0,0,1,1,1
2017-01-02 18:12:00,1,1,1,1,1,1,0,1,1
2017-01-02 18:15:00,0,0,0,0,0,0,0,0,0
2017-01-02 18:18:00,0,0,1,0,0,0,0,0,0
2017-01-02 18:21:00,0,0,0,1,0,1,0,1,1
2017-01-02 18:24:00,1,0,0,0,0,1,1,0,1
2017-01-02 18:27:00,1,1,0,1,1,1,1,1,1
2017-01-02 18:30:00,0,1,1,1,0,0,0,0,1
2017-01-02 18:33:00,1,0,1,0,0,1,1,1,0
2017-01-02 18:36:00,0,0,1,1,1,1,0,1,1
2017-01-02 18:39:00,0,0,0,0,0,0,0,0,0
2017-01-02 18:42:00,1,1,0,1,1,0,1,1,0
2017-01-02 18:45:00,1,0,1,0,1,0,0,0,1
2017-01-02 18:48:00,0,0,0,1,0,1,1,0,1
2017-01-02 18:51:00,1,0,0,0,0,0,0,1,0
2017-01-02 18:54:00,0,1,1,1,1,0,1,0,0
2017-01-02 18:57:00,0,1,0,1,0,0,0,1,1
2017-01-02 19:00:00,1,0,1,1,1,1,1,0,1
2017-01-02 19:03:00,0,1,0,1,0,0,0,1,0
2017-01-02 19:06:00,1,1,1,0,1,0,1,0,0
2017-01-02 19:09:00,0,0,1,0,1,0,0,1,1
2017-01-02 19:12:00,0,1,0,0,0,1,0,0,0
2017-01-02 19:15:00,0,1,1,0,0,0,0,1,0
2017-01-02 19:18:00,1,0,1,1,0,1,0,0,1
2017-01-02 19:21:00,1,1,0,0,1,0,0,1,0
2017-01-02 19:24:00,0,0,1,0,1,0,1,0,0
2017-01-02 19:27:00,1,0,1,1,0,1,0,0,1
2017-01-02 19:30:00,0,0,0,0,0,0,1,0,0
2017-01-02 19:33:00,0,0,0,1,0,1,0,1,1
2017-01-02 19:36:00,1,0,1,1,1,1,1,0,1
2017-01-02 19:39:00,1,1,0,1,1,1,0,0,0
2017-01-02 19:42:00,0,0,0,0,0,0,0,0,0
2017-01-02 19:45:00,0,1,1,1,1,1,0,1,1
2017-01-02 19:48:00,0,0,0,0,0,0,1,0,0
2017-01-02 19:51:00,1,1,1,1,1,1,0,1,1
2017-01-02 19:54:00,0,0,0,1,1,1,1,0,1
2017-01-02 19:57:00,1,1,1,0,0,0,1,1,0
2017-01-02 20:00:00,0,1,1,1,1,1,1,1,1
2017-01-02 20:03:00,1,0,1,0,1,1,0,0,1
2017-01-02 20:06:00,0,0,0,0,0,0,0,0,0
2017-01-02 20:09:00,1,1,1,0,1,0,1,1,0
2017-01-02 20:12:00,0,0,0,1,0,1,0,0,0
2017-01-02 20:15:00,1,1,1,0,1,0,0,1,0
2017-01-02 20:18:00,1,0,0,1,1,1,1,0,1
2017-01-02 20:21:00,0,0,1,0,0,0,0,0,0
2017-01-02 20:24:00,1,1,1,1,1,1,1,1,1
2017-01-02 20:27:00,0,1,0,0,0,0,0,0,0
2017-01-02 20:30:00,1,0,1,1,1,1,1,1,1
2017-01-02 20:33:00,1,1,0,1,0,1,0,1,1
2017-01-02 20:36:00,0,0,0,0,0,1,1,0,0
2017-01-02 20:39:00,1,0,1,1,0,0,0,0,1
2017-01-02 20:42:00,0,0,0,0,0,0,0,1,0
2017-01-02 20:45:00,1,1,0,1,1,1,1,0,1
2017-01-02 20:48:00,0,1,1,1,0,0,0,1,0
2017-01-02 20:51:00,1,0,0,0,1,1,1,0,1
2017-01-02 20:54:00,0,0,0,0,0,1,1,0,0
2017-01-02 20:57:00,0,1,1,1,0,0,0,1,0
2017-01-02 21:00:00,0,0,0,0,1,0,1,0,1
2017-01-02 21:03:00,0,1,1,0,0,0,0,1,0
2017-01-02 21:06:00,1,0,0,1,1,1,1,1,1
2017-01-02 21:09:00,1,0,1,0,0,0,1,0,0
2017-01-02 21:12:00,0,0,0,1,0,1,0,0,1
2017-01-02 21:15:00,0,1,1,1,1,1,0,1,1
2017-01-02 21:18:00,1,0,0,0,0,0,0,0,0
2017-01-02 21:21:00,0,1,0,1,1,1,1,1,1
2017-01-02 21:24:00,1,0,1,1,1,1,1,0,1
2017-01-02 21:27:00,0,1,0,0,0,0,0,1,0
2017-01-02 21:30:00,1,1,0,1,1,0,1,1,0
2017-01-02 21:33:00,0,0,0,0,0,0,0,0,1
2017-01-02 21:36:00,0,0,0,0,0,0,0,0,0
2017-01-02 21:39:00,1,1,1,1,1,1,1,1,1
2017-01-02 21:42:00,0,0,1,0,0,0,0,1,0
2017-01-02 21:45:00,1,1,0,1,1,1,1,1,1
2017-01-02 21:48:00,1,0,1,0,0,1,1,0,0
2017-01-02 21:51:00,0,1,1,1,0,0,0,0,0
2017-01-02 21:54:00,0,0,0,0,1,0,0,0,0
2017-01-02 21:57:00,1,1,1,0,1,1,1,0,0
2017-01-02 22:00:00,0,0,0,1,0,0,0,1,0
2017-01-02 22:03:00,0,0,1,0,0,0,1,0,1
2017-01-02 22:06:00,0,1,0,1,0,0,0,0,0
2017-01-02 22:10:00,1,1,1,1,1,1,1,0,1
2017-01-02 22:14:00,0,0,0,0,1,1,1,1,0
2017-01-02 22:17:00,0,0,1,,0,0,0,0,0
2017-01-02 22:21:00,0,1,1,,1,1,0,1,1
2017-01-02 22:24:00,1,1,0,1,1,1,1,0,1
2017-01-02 22:27:00,0,1,0,0,0,0,0,0,0
2017-01-02 22:30:00,1,0,0,1,0,1,1,1,1
2017-01-02 22:33:00,0,1,1,0,1,0,1,0,1
2017-01-02 22:36:00,1,1,1,1,1,1,0,1,0
2017-01-02 22:39:00,0,1,0,0,0,1,1,0,0
2017-01-02 22:42:00,0,0,1,0,1,1,0,1,0
2017-01-02 22:45:00,0,0,0,0,0,0,0,0,1
2017-01-02 22:48:00,1,1,1,1,1,1,1,1,0
2017-01-02 22:51:00,0,1,0,1,0,0,0,1,1
2017-01-02 22:54:00,0,0,0,1,0,1,0,0,0
2017-01-02 22:57:00,1,1,1,0,1,0,0,0,0
2017-01-02 23:00:00,0,1,1,1,0,1,0,1,1
2017-01-02 23:03:00,0,0,0,1,1,1,1,0,1
2017-01-02 23:06:00,1,1,0,0,1,0,0,1,0
2017-01-02 23:09:00,0,0,1,1,0,0,0,0,1
2017-01-02 23:12:00,1,0,0,0,1,1,1,0,1
2017-01-02 23:15:00,0,1,0,0,0,0,1,1,0
2017-01-02 23:19:00,0,0,0,0,1,1,0,0,1
2017-01-02 23:22:00,0,1,0,1,1,0,0,1,0
2017-01-02 23:25:00,0,0,1,0,0,0,1,,0
2017-01-02 23:28:00,0,0,0,1,1,1,0,,1
2017-01-02 23:31:00,1,1,1,0,1,0,1,0,0
2017-01-02 23:34:00,0,0,1,1,0,1,0,1,1
2017-01-02 23:37:00,0,0,1,1,0,1,1,0,1
2017-01-02 23:40:00,1,1,1,0,0,0,0,1,0
2017-01-02 23:43:00,1,0,0,0,0,0,1,0,1
2017-01-02 23:46:00,0,1,1,1,0,0,0,1,1
2017-01-02 23:49:00,1,1,0,1,1,1,1,1,1
2017-01-02 23:52:00,1,1,1,1,1,0,1,1,0
2017-01-02 23:55:00,1,1,1,0,0,0,1,1,0
2017-01-02 23:58:00,1,0,0,0,1,1,1,0,1
2017-01-03 00:01:00,0,0,0,1,0,0,0,0,1
2017-01-03 00:04:00,1,1,0,0,1,0,0,1,0
2017-01-03 00:07:00,1,1,1,0,1,1,0,0,0
2017-01-03 00:10:00,0,0,1,1,0,0,1,1,1
2017-01-03 00:13:00,1,1,1,0,0,0,1,0,0
2017-01-03 00:16:00,0,1,0,1,0,0,0,1,0
2017-01-03 00:19:00,1,0,0,0,1,1,0,0,0
2017-01-03 00:22:00,1,0,1,1,1,0,1,1,1
2017-01-03 00:25:00,0,1,0,1,0,0,0,0,1
2017-01-03 00:28:00,0,0,1,0,0,0,0,1,0
2017-01-03 00:31:00,1,0,0,1,1,0,1,1,1
2017-01-03 00:34:00,0,1,0,0,0,0,0,0,0
2017-01-03 00:37:00,0,0,0,1,1,1,1,1,1
2017-01-03 00:40:00,1,1,1,0,0,0,1,1,0
2017-01-03 00:43:00,1,0,0,0,0,1,1,0,1
2017-01-03 00:46:00,0,0,1,0,0,0,0,1,0
